file,t_start,t_end,t_mid,total_0p5_10,soft_0p5_2,hard_7_15,SAT_LAT,SAT_LON,BORE_LAT,BORE_LON,SAT_ALT,SOLARANG,PHASEANG,TEMP,EXPOSURE
ch2_cla_l1_20200529T103956257_20200529T104004257.fits,2020-05-29 10:39:56+00:00,2020-05-29 10:40:04+00:00,2020-05-29 10:40:00.257000+00:00,542.0,234.0,382.0,-20.5545,120.579,-20.5521,120.579,106.893,32.8258,32.8258,-39.3,8.0
ch2_cla_l1_20200529T104004257_20200529T104012257.fits,2020-05-29 10:40:04+00:00,2020-05-29 10:40:12+00:00,2020-05-29 10:40:08.257000+00:00,597.0,260.0,492.0,-20.9593,120.585,-20.9569,120.585,106.933,33.0596,33.0596,-39.2,8.0
ch2_cla_l1_20200529T104012257_20200529T104020257.fits,2020-05-29 10:40:12+00:00,2020-05-29 10:40:20+00:00,2020-05-29 10:40:16.257000+00:00,544.0,241.0,406.0,-21.3642,120.59,-21.3618,120.59,106.973,33.2963,33.2963,-39.2,8.0
ch2_cla_l1_20200529T104020257_20200529T104028257.fits,2020-05-29 10:40:20+00:00,2020-05-29 10:40:28+00:00,2020-05-29 10:40:24.257000+00:00,540.0,238.0,381.0,-21.769,120.596,-21.7666,120.596,107.013,33.5358,33.5358,-39.1,8.0
ch2_cla_l1_20200529T104028257_20200529T104036257.fits,2020-05-29 10:40:28+00:00,2020-05-29 10:40:36+00:00,2020-05-29 10:40:32.257000+00:00,590.0,253.0,439.0,-22.1737,120.602,-22.1714,120.602,107.052,33.7781,33.7781,-39.1,8.0
ch2_cla_l1_20200529T104036257_20200529T104044257.fits,2020-05-29 10:40:36+00:00,2020-05-29 10:40:44+00:00,2020-05-29 10:40:40.257000+00:00,574.0,262.0,440.0,-22.5785,120.607,-22.5761,120.607,107.092,34.0232,34.0232,-39.0,8.0
ch2_cla_l1_20200529T104044257_20200529T104052257.fits,2020-05-29 10:40:44+00:00,2020-05-29 10:40:52+00:00,2020-05-29 10:40:48.257000+00:00,589.0,249.0,456.0,-22.9833,120.613,-22.9809,120.613,107.131,34.2709,34.2709,-38.9,8.0
ch2_cla_l1_20200529T104052257_20200529T104100257.fits,2020-05-29 10:40:52+00:00,2020-05-29 10:41:00+00:00,2020-05-29 10:40:56.257000+00:00,548.0,228.0,425.0,-23.388,120.619,-23.3857,120.619,107.171,34.5211,34.5211,-38.9,8.0
ch2_cla_l1_20200529T104100257_20200529T104108257.fits,2020-05-29 10:41:00+00:00,2020-05-29 10:41:08+00:00,2020-05-29 10:41:04.257000+00:00,579.0,246.0,431.0,-23.7927,120.625,-23.7904,120.625,107.21,34.774,34.774,-38.8,8.0
ch2_cla_l1_20200529T104108257_20200529T104116257.fits,2020-05-29 10:41:08+00:00,2020-05-29 10:41:16+00:00,2020-05-29 10:41:12.257000+00:00,636.0,284.0,449.0,-24.1974,120.631,-24.1949,120.631,107.248,35.0293,35.0293,-38.8,8.0
ch2_cla_l1_20200529T104116257_20200529T104124257.fits,2020-05-29 10:41:16+00:00,2020-05-29 10:41:24+00:00,2020-05-29 10:41:20.257000+00:00,483.0,237.0,366.0,-24.6021,120.637,-24.5996,120.637,107.287,35.287,35.287,-38.7,8.0
ch2_cla_l1_20200529T104124257_20200529T104132257.fits,2020-05-29 10:41:24+00:00,2020-05-29 10:41:32+00:00,2020-05-29 10:41:28.257000+00:00,708.0,295.0,530.0,-25.0068,120.643,-25.0043,120.643,107.326,35.5471,35.5471,-38.6,8.0
ch2_cla_l1_20200529T104132257_20200529T104140257.fits,2020-05-29 10:41:32+00:00,2020-05-29 10:41:40+00:00,2020-05-29 10:41:36.257000+00:00,618.0,229.0,497.0,-25.4114,120.649,-25.4091,120.649,107.364,35.8096,35.8096,-38.6,8.0
