file,t_start,t_end,t_mid,total_0p5_10,soft_0p5_2,hard_7_15,SAT_LAT,SAT_LON,BORE_LAT,BORE_LON,SAT_ALT,SOLARANG,PHASEANG,TEMP,EXPOSURE
ch2_cla_l1_20210828T125259667_20210828T125307667.fits,2021-08-28 12:52:59+00:00,2021-08-28 12:53:07+00:00,2021-08-28 12:53:03.667000+00:00,909.0,606.0,414.0,-28.0355,-132.49,-28.0391,-132.49,109.694,68.0273,68.0273,-42.6,8.0
ch2_cla_l1_20210828T125307667_20210828T125315667.fits,2021-08-28 12:53:07+00:00,2021-08-28 12:53:15+00:00,2021-08-28 12:53:11.667000+00:00,1005.0,668.0,382.0,-28.439,-132.486,-28.4425,-132.486,109.564,68.1236,68.1236,-42.6,8.0
ch2_cla_l1_20210828T125315667_20210828T125323667.fits,2021-08-28 12:53:15+00:00,2021-08-28 12:53:23+00:00,2021-08-28 12:53:19.667000+00:00,1061.0,679.0,514.0,-28.8426,-132.482,-28.8462,-132.482,109.435,68.221,68.221,-42.6,8.0
ch2_cla_l1_20210828T125323667_20210828T125331667.fits,2021-08-28 12:53:23+00:00,2021-08-28 12:53:31+00:00,2021-08-28 12:53:27.667000+00:00,757.0,462.0,396.0,-29.2462,-132.477,-29.2499,-132.477,109.304,68.3195,68.3195,-42.5,8.0
ch2_cla_l1_20210828T125331667_20210828T125339667.fits,2021-08-28 12:53:31+00:00,2021-08-28 12:53:39+00:00,2021-08-28 12:53:35.667000+00:00,838.0,533.0,393.0,-29.6499,-132.473,-29.6534,-132.473,109.174,68.4191,68.4191,-42.4,8.0
ch2_cla_l1_20210828T125339667_20210828T125347667.fits,2021-08-28 12:53:39+00:00,2021-08-28 12:53:47+00:00,2021-08-28 12:53:43.667000+00:00,984.0,601.0,578.0,-30.0536,-132.469,-30.0572,-132.469,109.043,68.5198,68.5198,-42.4,8.0
ch2_cla_l1_20210828T125347667_20210828T125355667.fits,2021-08-28 12:53:47+00:00,2021-08-28 12:53:55+00:00,2021-08-28 12:53:51.667000+00:00,887.0,556.0,413.0,-30.4574,-132.465,-30.4609,-132.465,108.912,68.6215,68.6215,-42.4,8.0
ch2_cla_l1_20210828T125355667_20210828T125403667.fits,2021-08-28 12:53:55+00:00,2021-08-28 12:54:03+00:00,2021-08-28 12:53:59.667000+00:00,942.0,585.0,498.0,-30.8612,-132.461,-30.8648,-132.46,108.78,68.7243,68.7243,-42.4,8.0
ch2_cla_l1_20210828T125403667_20210828T125411667.fits,2021-08-28 12:54:03+00:00,2021-08-28 12:54:11+00:00,2021-08-28 12:54:07.667000+00:00,785.0,486.0,384.0,-31.2651,-132.456,-31.2687,-132.456,108.649,68.8281,68.8281,-42.4,8.0
ch2_cla_l1_20210828T125411667_20210828T125419667.fits,2021-08-28 12:54:11+00:00,2021-08-28 12:54:19+00:00,2021-08-28 12:54:15.667000+00:00,712.0,438.0,370.0,-31.6691,-132.452,-31.6727,-132.452,108.517,68.933,68.933,-42.3,8.0
ch2_cla_l1_20210828T125419667_20210828T125427667.fits,2021-08-28 12:54:19+00:00,2021-08-28 12:54:27+00:00,2021-08-28 12:54:23.667000+00:00,959.0,577.0,473.0,-32.0731,-132.447,-32.0767,-132.447,108.385,69.0389,69.0389,-42.3,8.0
ch2_cla_l1_20210828T125427667_20210828T125435667.fits,2021-08-28 12:54:27+00:00,2021-08-28 12:54:35+00:00,2021-08-28 12:54:31.667000+00:00,902.0,595.0,494.0,-32.4772,-132.443,-32.4808,-132.443,108.252,69.1458,69.1458,-42.2,8.0
ch2_cla_l1_20210828T125435667_20210828T125443667.fits,2021-08-28 12:54:35+00:00,2021-08-28 12:54:43+00:00,2021-08-28 12:54:39.667000+00:00,826.0,533.0,401.0,-32.8813,-132.438,-32.8849,-132.439,108.119,69.2538,69.2538,-42.2,8.0
